Project, Author, com.android.volley.mock.Priority, com.android.volley.toolbox.NetworkImageView, org.apache.http.client.methods.HttpPost, com.android.volley.toolbox.ByteArrayPool, java.net.HttpURLConnection, java.util.List, com.android.volley.toolbox.DiskBasedCache.CacheHeader, com.android.volley.mock.TestRequest, java.lang.Throwable, com.android.volley.NetworkResponse, com.android.volley.Response, android.widget.ImageView.ScaleType, com.android.volley.mock.MockHttpStack, org.apache.http.message.BasicHttpResponse, com.android.volley.toolbox.HttpClientStack$HttpPatch, android.content.Intent, android.content.Context, float, com.android.volley.mock.MockCache, com.android.volley.Cache, com.android.volley.VolleyLog.MarkerLog.Marker, android.graphics.Bitmap.Config, T, com.android.volley.RequestQueue, org.json.JSONArray, com.android.volley.RequestQueueTest$OrderCheckingNetwork, org.apache.http.client.methods.HttpEntityEnclosingRequestBase, com.android.volley.toolbox.ImageLoader$ImageContainer, com.android.volley.mock.ResponseHandler, Cache.Entry, java.lang.Exception, java.lang.reflect.Array, com.android.volley.NetworkDispatcher, boolean, com.android.volley.toolbox.ImageLoader.ImageContainer, android.os.Handler, org.apache.http.ProtocolVersion, org.apache.http.Header, com.android.volley.mock.Request, android.graphics.Bitmap, android.widget.ImageView, com.android.volley.toolbox.HurlStack$UrlRewriter, java.util.concurrent.Semaphore, java.net.URI, com.android.volley.toolbox.ImageLoader$ImageListener, com.android.volley.RequestQueue.RequestFinishedListener, org.apache.http.HttpResponse, javax.net.ssl.SSLSocketFactory, ImageLoader.ImageCache, com.android.volley.Cache.Entry, RequestQueue, java.io.ByteArrayInputStream, com.android.volley.toolbox.HttpStack, java.util.HashMap, java.util.Comparator, com.android.volley.toolbox.JsonObjectRequest, java.util.LinkedList, ?, ScaleType, com.android.volley.Request.Priority, java.lang.Class, com.android.volley.toolbox.ImageLoader$BatchedImageRequest, org.mockito.invocation.InvocationOnMock, java.io.InputStream, com.android.volley.toolbox.Listener, com.android.volley.Network, java.lang.Runnable, com.android.volley.toolbox.ImageLoader$ImageCache, java.text.DateFormat, org.apache.http.params.HttpParams, com.android.volley.CacheDispatcher, java.util.concurrent.BlockingQueue, java.io.File, com.android.volley.Cache$Entry, com.android.volley.toolbox.ImageLoader, java.io.DataOutputStream, org.apache.http.entity.BasicHttpEntity, Cache, NetworkResponse, java.util.Map, org.apache.http.client.methods.HttpPut, HttpStack, java.net.URL, com.android.volley.VolleyLog$MarkerLog$Marker, org.apache.http.client.methods.HttpUriRequest, java.lang.String, com.android.volley.mock.MockRequest, java.io.BufferedInputStream, com.android.volley.mock.Entry, com.android.volley.toolbox.DiskBasedCache$CacheHeader, com.android.volley.toolbox.ImageLoader.BatchedImageRequest, java.io.ObjectInputStream, long, org.apache.http.HttpHost, java.util.concurrent.Executor, org.mockito.stubbing.Answer, android.content.pm.PackageInfo, Response, ImageLoader, org.apache.http.HttpEntity, com.android.volley.mock.MockNetwork, com.android.volley.RequestTest$UrlParseRequest, java.io.BufferedOutputStream, BasicNetwork, com.android.volley.Response.ErrorListener, byte[], android.accounts.AccountManagerFuture, java.util.Iterator, java.lang.Object, Response.ErrorListener, double, android.os.Bundle, ByteArrayPool, android.util.AttributeSet, ImageRequest, com.android.volley.ResponseDelivery, com.android.volley.RetryPolicy, java.security.MessageDigest, android.accounts.AccountManager, android.accounts.Account, int, com.android.volley.toolbox.AccountManagerFuture, com.android.volley.toolbox.Request, com.android.volley.mock.Response, java.io.OutputStream, java.io.FileOutputStream, java.util.Date, android.content.res.Resources, java.io.FileInputStream, java.util.Map$Entry, com.android.volley.toolbox.AndroidAuthenticator, org.apache.http.HttpRequest, java.io.ObjectOutputStream, org.json.JSONObject, com.android.volley.mock.WaitableQueue, com.android.volley.RequestTest$TestRequest, org.apache.http.StatusLine, org.apache.http.client.HttpClient, com.android.volley.VolleyError, android.graphics.BitmapFactory, VolleyError, Request, com.android.volley.toolbox.ImageListener, com.android.volley.Request, Entry, java.lang.Long, java.util.Random, com.android.volley.toolbox.DiskBasedCache$CountingInputStream, org.apache.http.protocol.HttpContext, com.android.volley.ExecutorDelivery, java.util.concurrent.atomic.AtomicInteger, com.android.volley.toolbox.Entry, com.android.volley.mock.MockResponseDelivery, java.io.ByteArrayOutputStream, com.android.volley.RequestQueueTest$DelayedRequest, com.android.volley.mock.MockHttpURLConnection, PoolingByteArrayOutputStream, java.util.concurrent.TimeUnit, com.android.volley.toolbox.JsonArrayRequest, com.android.volley.toolbox.NetworkImageViewTest$MockImageLoader, 
android-volley/, Jeremy, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android-volley/, bshao, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android-volley/, kang, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android-volley/, Ralph, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
android-volley/, zhangxiaoke, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android-volley/, Aurash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 7, 1, 0, 0, 0, 8, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 19, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android-volley/, andaagar, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android-volley/, Jukka, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android-volley/, Jake, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android-volley/, Zhang, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
