Project, Author, CommPortIdentifier, javafx.scene.layout.VBox, tgfx.SerialPortEvent, tgfx.gcode.GcodeLine, tgfx.utility.AsyncTimerTest$TimableTester, gnu.io.SerialPort, jfxtras.labs.scene.control.gauge.Lcd, java.lang.Runtime, javafx.stage.Stage, argo.jdom.JsonRootNode, GcodeLine, javafx.scene.layout.AnchorPane, javafx.event.EventHandler, javafx.scene.canvas.Canvas, java.util.concurrent.BlockingQueue, java.io.Reader, javafx.scene.paint.Paint, javafx.scene.control.Tooltip, javafx.scene.input.KeyCode, javafx.stage.FileChooser, java.lang.Package, tgfx.ResponseFooter, javafx.scene.input.InputEvent, java.io.BufferedReader, Machine.motion_modes, javafx.scene.control.ContextMenu, javafx.scene.control.TableView, AsyncTimer, java.util.concurrent.locks.ReentrantLock, org.json.JSONTokener, T, org.json.JSONArray, org.apache.log4j.Logger, javafx.concurrent.Task, jfxtras.labs.scene.control.gauge.StyleModel, java.util.Collection, java.io.BufferedWriter, tgfx.SerialDriver, XMLTokener, javafx.scene.web.WebView, java.lang.reflect.Array, java.io.DataInputStream, javafx.beans.property.SimpleStringProperty, javafx.scene.Parent, javafx.scene.control.ListView, javafx.beans.property.SimpleDoubleProperty, int, tgfx.ResponseParser, JSONArray, java.lang.Float, tgfx.BeanPathAdapter, javafx.util.StringConverter, tgfx.hardwarePlatforms.HardwarePlatformManager, jfxtras.labs.dialogs.MonologFX, java.io.Writer, java.util.ArrayList, jfxtras.labs.dialogs.MonologFXButton, tgfx.utility.AsyncTimer, java.lang.Thread, tgfx.utility.Timeable, javafx.scene.control.MenuItem, javafx.collections.ObservableList, gnu.io.SerialPortEvent, java.lang.String, java.util.ResourceBundle, tgfx.tinyg.TinygDriver, javafx.scene.input.MouseEvent, tgfx.system.StatusCode, javafx.scene.control.ProgressBar, javafx.scene.control.TextArea, java.util.HashMap, tgfx.tinyg.MnemonicManager, tgfx.system.Axis, java.util.LinkedList, com.google.gson.Gson, ?, javafx.scene.layout.HBox, tgfx.ui.gcode.GcodeHistory, tgfx.tinyg.ResponseManager, java.lang.reflect.Method, java.lang.Class, tgfx.SerialWriter, tgfx.render.CncMachinePreview, java.text.DecimalFormat, java.io.InputStream, java.util.Observer, JSONTokener, tgfx.ui.gcode.GcodeLine, java.lang.Number, javafx.scene.web.WebEngine, javafx.scene.control.TableColumn, java.util.concurrent.ArrayBlockingQueue, java.util.Enumeration, javafx.scene.shape.LineTo, tgfx.external.SocketMonitor, java.lang.Character, javafx.beans.value.ObservableValue, java.io.File, tgfx.tinyg.responseCommand, javafx.scene.shape.Circle, java.lang.Throwable, tgfx.QueueReader, float, java.util.concurrent.locks.Condition, argo.jdom.JsonNode, javafx.beans.binding.NumberExpression, java.util.Map, tgfx.render.CNCMachinePane, java.net.URL, boolean, org.json.XMLTokener, HTTPTokener, responseCommand, java.lang.Process, com.zipwhip.framework.pubsub.Broker, java.io.DataOutputStream, long, com.zipwhip.framework.pubsub.MemoryBroker, HardwarePlatform, javafx.scene.Scene, javafx.scene.control.TabPane, javafx.scene.control.ToggleButton, javafx.scene.text.Text, tgfx.gcode.GcodeLine[], java.util.Observable, javafx.scene.Group, javafx.scene.layout.Pane, tgfx.utility.QueueUsingTimer, tgfx.tinyg.QueueReport, javafx.beans.property.SimpleBooleanProperty, tgfx.TinygDriver, tgfx.utility.TimerTest, java.util.concurrent.locks.ReadWriteLock, javafx.scene.control.ChoiceBox, byte[], java.util.Iterator, java.util.Locale, gnu.io.CommPortIdentifier, org.springframework.context.support.AbstractApplicationContext, java.lang.Object, jfxtras.labs.dialogs.DialogFX, java.lang.Double, tgfx.EventSystem, double, javafx.scene.control.Label, tgfx.system.Motor, javafx.scene.layout.GridPane, jssc.SerialPort, tgfx.TgFX, java.lang.StringBuffer, javafx.beans.binding.BooleanExpression, javafx.scene.input.ScrollEvent, javafx.animation.FadeTransition, argo.jdom.JdomParser, javafx.beans.property.SimpleIntegerProperty, java.lang.Integer, tgfx.ui.gcode.GcodeLine[], java.io.StringWriter, java.lang.Long, tgfx.JSONObject, javafx.scene.control.Tab, java.io.OutputStream, Machine, java.util.Date, java.io.FileInputStream, java.util.Map$Entry, tgfx.hardwarePlatforms.HardwarePlatform, char, java.util.Timer, java.net.URLConnection, javafx.event.ActionEvent, com.zipwhip.framework.pubsub.EventData, org.json.JSONObject, javafx.scene.shape.MoveTo, tgfx.render.CNCMachine, javafx.beans.property.StringProperty, HEAD, java.lang.StringBuilder, javafx.scene.shape.Line, QueueUsingTimer, tgfx.ResponseHeader, tgfx.system.GcodeCoordinateSystem, javafx.scene.layout.StackPane, tgfx.tinyg.CommandManager, java.util.concurrent.atomic.AtomicBoolean, java.util.Scanner, tgfx.Command, java.net.Socket, tgfx.gcode.GcodeHistory, javafx.scene.input.KeyEvent, java.lang.Boolean, tgfx.system.Machine, tgfx.utility.QueuedTimerable, java.util.concurrent.atomic.AtomicInteger, JSONObject, javafx.scene.Node, tgfx.JSONArray, java.lang.Byte, GcodeCoordinateSystem, javafx.scene.control.Button, javafx.fxml.FXMLLoader, javafx.scene.control.TextField, 
tgFX/, Matt, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 2, 5, 0, 1, 3, 0, 0, 0, 1, 0, 23, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 44, 0, 0, 4, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 2, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 17, 
tgFX/, Pat, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 4, 0, 0, 0, 2, 0, 0, 0, 4, 1, 0, 0, 0, 1, 0, 4, 0, 2, 0, 0, 4, 0, 7, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 7, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 6, 0, 0, 29, 1, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 1, 0, 0, 0, 0, 1, 1, 13, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 0, 0, 4, 16, 1, 0, 0, 5, 0, 3, 0, 0, 0, 0, 2, 0, 9, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
tgFX/, Koen, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
tgFX/, unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
tgFX/, Alexandru, 0, 4, 1, 0, 0, 0, 7, 1, 3, 0, 3, 0, 2, 0, 2, 2, 8, 0, 1, 1, 1, 1, 4, 5, 0, 1, 1, 1, 0, 7, 4, 12, 20, 4, 1, 4, 0, 5, 1, 3, 33, 1, 1, 1, 1, 3, 212, 1, 9, 0, 0, 1, 2, 4, 9, 13, 12, 2, 4, 3, 3, 1, 0, 427, 9, 3, 6, 1, 1, 3, 3, 1, 7, 0, 1, 1, 6, 1, 1, 1, 3, 1, 0, 3, 7, 1, 2, 1, 2, 1, 1, 3, 1, 0, 0, 9, 6, 9, 6, 3, 2, 0, 8, 0, 0, 1, 5, 0, 9, 58, 4, 1, 2, 1, 0, 0, 24, 0, 1, 2, 3, 2, 10, 0, 2, 1, 1, 1, 2, 2, 0, 1, 0, 46, 1, 18, 1, 0, 0, 77, 0, 7, 0, 48, 17, 5, 3, 2, 1, 22, 1, 0, 1, 0, 0, 0, 1, 3, 2, 5, 3, 2, 0, 2, 1, 1, 3, 45, 0, 2, 27, 0, 16, 0, 1, 1, 0, 1, 4, 0, 0, 9, 4, 1, 2, 0, 0, 2, 0, 5, 0, 1, 2, 1, 14, 0, 2, 3, 1, 10, 1, 80, 
tgFX/, atomicbob, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
tgFX/, Scott, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 2, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 3, 0, 4, 3, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 3, 2, 2, 0, 0, 0, 2, 34, 0, 0, 0, 0, 0, 1, 3, 0, 0, 7, 1, 1, 0, 2, 0, 0, 34, 1, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 18, 3, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 0, 1, 5, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 36, 4, 0, 0, 19, 4, 0, 1, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 8, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
tgFX/, corb555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
tgFX/, ril3y, 2, 6, 2, 4, 1, 0, 7, 4, 5, 13, 3, 0, 2, 2, 10, 2, 16, 1, 1, 1, 1, 3, 10, 8, 3, 1, 1, 2, 3, 7, 4, 12, 22, 9, 1, 4, 2, 9, 1, 5, 62, 1, 8, 1, 1, 4, 334, 2, 9, 0, 0, 1, 2, 11, 9, 16, 33, 2, 9, 3, 3, 5, 0, 764, 10, 6, 9, 2, 1, 4, 3, 1, 19, 2, 1, 1, 11, 1, 1, 1, 3, 2, 0, 3, 18, 4, 2, 1, 4, 4, 1, 7, 1, 3, 5, 9, 6, 23, 6, 3, 2, 1, 48, 5, 2, 1, 5, 0, 15, 95, 4, 1, 2, 4, 0, 1, 37, 0, 2, 4, 3, 2, 10, 1, 5, 5, 1, 1, 4, 4, 3, 1, 0, 70, 2, 27, 1, 0, 0, 82, 0, 17, 0, 68, 21, 22, 5, 3, 1, 22, 1, 0, 1, 3, 2, 2, 1, 3, 2, 5, 6, 5, 0, 3, 1, 1, 4, 45, 0, 7, 41, 0, 32, 2, 1, 1, 2, 4, 11, 1, 2, 9, 4, 1, 3, 2, 2, 2, 0, 13, 4, 17, 2, 1, 14, 1, 2, 4, 1, 10, 1, 112, 
tgFX/, Riley, 0, 3, 0, 10, 1, 1, 17, 2, 8, 5, 11, 2, 0, 0, 2, 2, 0, 0, 4, 13, 1, 0, 6, 13, 0, 6, 2, 3, 0, 7, 4, 11, 14, 6, 4, 4, 0, 0, 1, 7, 39, 6, 5, 0, 2, 1, 230, 0, 9, 0, 1, 3, 2, 7, 9, 12, 27, 3, 7, 3, 9, 1, 1, 717, 10, 1, 29, 3, 0, 7, 4, 2, 25, 0, 3, 0, 1, 1, 2, 1, 3, 0, 0, 4, 11, 0, 2, 1, 31, 16, 2, 1, 1, 0, 9, 9, 133, 36, 11, 6, 2, 0, 19, 0, 1, 1, 5, 0, 11, 39, 4, 1, 1, 2, 1, 0, 32, 1, 5, 7, 8, 2, 15, 0, 2, 0, 6, 0, 0, 2, 0, 2, 0, 91, 0, 25, 1, 1, 1, 328, 4, 9, 3, 116, 37, 31, 4, 0, 0, 22, 0, 3, 0, 0, 0, 0, 0, 3, 2, 4, 0, 3, 0, 3, 6, 1, 9, 44, 1, 3, 60, 7, 13, 0, 4, 1, 0, 9, 4, 1, 0, 7, 7, 2, 3, 3, 0, 0, 2, 13, 0, 12, 2, 2, 16, 0, 2, 2, 0, 20, 0, 155, 
